Date : 2022-01-04 18:10:14
Directory : c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe
Total : 83 files,  18527 codes, 198 comments, 494 blanks, all 19219 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          6 |     14,360 |          4 |          3 |     14,367 |
| Dart       |         37 |      2,934 |         19 |        300 |      3,253 |
| XML        |         18 |        554 |         50 |         12 |        616 |
| C++        |         11 |        408 |         80 |        132 |        620 |
| HTML       |          1 |        106 |         18 |         10 |        134 |
| Groovy     |          3 |         95 |          3 |         22 |        120 |
| YAML       |          2 |         46 |         23 |          7 |         76 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          1 |          2 |         11 |
| Markdown   |          2 |          4 |          0 |          4 |          8 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                        |         83 |     18,527 |        198 |        494 |     19,219 |
| android                                                                                                                  |         16 |        261 |         48 |         33 |        342 |
| android\app                                                                                                              |         12 |        217 |         47 |         22 |        286 |
| android\app\src                                                                                                          |         10 |         80 |         44 |          9 |        133 |
| android\app\src\debug                                                                                                    |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                                     |          8 |         72 |         38 |          7 |        117 |
| android\app\src\main\res                                                                                                 |          7 |         40 |         32 |          6 |         78 |
| android\app\src\main\res\drawable                                                                                        |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                    |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\mipmap-anydpi-v26                                                                               |          2 |         10 |          0 |          0 |         10 |
| android\app\src\main\res\values                                                                                          |          2 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night                                                                                    |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                  |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                                           |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                                   |          1 |          5 |          1 |          1 |          7 |
| assets                                                                                                                   |          6 |        413 |          4 |          1 |        418 |
| assets\icons                                                                                                             |          6 |        413 |          4 |          1 |        418 |
| ios                                                                                                                      |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                               |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                                               |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                            |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                          |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                    |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                      |         36 |      2,920 |          9 |        293 |      3,222 |
| lib\Controllers                                                                                                          |          6 |        374 |          5 |         76 |        455 |
| lib\Models                                                                                                               |          2 |         94 |          0 |          9 |        103 |
| lib\Screens                                                                                                              |         10 |      1,367 |          1 |         93 |      1,461 |
| lib\Utils                                                                                                                |          3 |         40 |          0 |         14 |         54 |
| lib\Widgets                                                                                                              |         14 |        985 |          2 |         97 |      1,084 |
| out                                                                                                                      |          1 |     14,095 |          0 |          0 |     14,095 |
| test                                                                                                                     |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                      |          2 |        141 |         18 |         11 |        170 |
| windows                                                                                                                  |         10 |        407 |         80 |        131 |        618 |
| windows\flutter                                                                                                          |          2 |         11 |          9 |         11 |         31 |
| windows\runner                                                                                                           |          8 |        396 |         71 |        120 |        587 |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                 | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\README.md                                                        | Markdown   |          1 |          0 |          2 |          3 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\analysis_options.yaml                                            | YAML       |          3 |         23 |          4 |         30 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\android\app\build.gradle                                         | Groovy     |         59 |          3 |         13 |         75 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\android\app\google-services.json                                 | JSON       |         78 |          0 |          0 |         78 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\android\app\src\debug\AndroidManifest.xml                        | XML        |          4 |          3 |          1 |          8 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\android\app\src\main\AndroidManifest.xml                         | XML        |         32 |          6 |          1 |         39 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\android\app\src\main\res\drawable-v21\launch_background.xml      | XML        |          4 |          7 |          2 |         13 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\android\app\src\main\res\drawable\launch_background.xml          | XML        |          4 |          7 |          2 |         13 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml       | XML        |          5 |          0 |          0 |          5 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml | XML        |          5 |          0 |          0 |          5 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\android\app\src\main\res\values-night\styles.xml                 | XML        |          9 |          9 |          1 |         19 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\android\app\src\main\res\values\ic_launcher_background.xml       | XML        |          4 |          0 |          0 |          4 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\android\app\src\main\res\values\styles.xml                       | XML        |          9 |          9 |          1 |         19 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\android\app\src\profile\AndroidManifest.xml                      | XML        |          4 |          3 |          1 |          8 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\android\build.gradle                                             | Groovy     |         28 |          0 |          5 |         33 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\android\gradle.properties                                        | Properties |          3 |          0 |          1 |          4 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\android\gradle\wrapper\gradle-wrapper.properties                 | Properties |          5 |          1 |          1 |          7 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\android\settings.gradle                                          | Groovy     |          8 |          0 |          4 |         12 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\assets\icons\chat.svg                                            | XML        |        134 |          1 |          0 |        135 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\assets\icons\facebook.svg                                        | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\assets\icons\google-plus.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\assets\icons\login.svg                                           | XML        |        151 |          1 |          0 |        152 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\assets\icons\signup.svg                                          | XML        |         80 |          1 |          0 |         81 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\assets\icons\twitter.svg                                         | XML        |         46 |          1 |          1 |         48 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\firebase.json                                                    | JSON       |          7 |          4 |          0 |         11 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\ios\Runner\AppDelegate.swift                                     | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json      | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json    | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md        | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\ios\Runner\Base.lproj\LaunchScreen.storyboard                    | XML        |         36 |          1 |          1 |         38 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\ios\Runner\Base.lproj\Main.storyboard                            | XML        |         25 |          1 |          1 |         27 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\ios\Runner\Runner-Bridging-Header.h                              | C++        |          1 |          0 |          1 |          2 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Controllers\auth_controller.dart                             | Dart       |         96 |          0 |         15 |        111 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Controllers\board_controller.dart                            | Dart       |         84 |          5 |         18 |        107 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Controllers\form_controller.dart                             | Dart       |         11 |          0 |          1 |         12 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Controllers\game_controller.dart                             | Dart       |         57 |          0 |         14 |         71 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Controllers\lobby_controller.dart                            | Dart       |         50 |          0 |         11 |         61 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Controllers\user_controller.dart                             | Dart       |         76 |          0 |         17 |         93 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Models\game.dart                                             | Dart       |         46 |          0 |          4 |         50 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Models\user.dart                                             | Dart       |         48 |          0 |          5 |         53 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Screens\about_screen.dart                                    | Dart       |         83 |          0 |          5 |         88 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Screens\game_screen.dart                                     | Dart       |        137 |          0 |         11 |        148 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Screens\headers.dart                                         | Dart       |         23 |          1 |          4 |         28 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Screens\home_screen.dart                                     | Dart       |        152 |          0 |          7 |        159 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Screens\host_game_scree.dart                                 | Dart       |        104 |          0 |          9 |        113 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Screens\join_game_screen.dart                                | Dart       |        122 |          0 |         10 |        132 |
| c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Screens\login_screen.dart                                    | Dart       |        214 |          0 |         11 |        225 |
